City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
111,Synya,RU,65.3718,58.0387,60.4,83,100,4.18,overcast clouds
112,Mecca,SA,21.4267,39.8261,90.55,46,68,2.57,broken clouds
113,Diffa,NE,13.3154,12.6113,81.3,60,98,10.8,overcast clouds
114,Lebu,CL,-37.6167,-73.65,52.14,93,100,4.43,overcast clouds
115,Parana,AR,-31.732,-60.5238,67.51,36,1,6.17,clear sky
116,Nikolskoye,RU,59.7035,30.7861,76.8,68,45,6.33,scattered clouds
117,Ambilobe,MG,-13.2,49.05,65.88,83,3,4.16,clear sky
118,Terrace Bay,CA,48.7834,-87.1,55.42,70,26,10.31,scattered clouds
119,Laguna,US,38.421,-121.4238,83.1,46,0,8.05,clear sky
120,Qaanaaq,GL,77.484,-69.3632,43.18,62,8,1.81,clear sky
121,Klyuchi,RU,52.2667,79.1667,61.18,45,0,5.48,clear sky
122,Erenhot,CN,43.6475,111.9767,77.95,40,100,5.61,overcast clouds
123,Ostrovnoy,RU,68.0531,39.5131,63.84,77,94,17.43,light rain
124,Isangel,VU,-19.55,169.2667,71.71,94,40,0.0,scattered clouds
125,Price,US,39.5994,-110.8107,87.12,32,40,13.8,scattered clouds
126,Atar,MR,20.5169,-13.0499,98.35,26,3,9.04,clear sky
127,Ponta Do Sol,PT,32.6667,-17.1,75.7,80,4,4.38,clear sky
128,Kieta,PG,-6.2167,155.6333,78.35,84,100,6.55,overcast clouds
129,Kattivakkam,IN,13.2167,80.3167,82.49,88,100,19.1,overcast clouds
130,Jerusalem,IL,31.769,35.2163,75.7,82,0,3.0,clear sky
131,Airai,TL,-8.9266,125.4092,56.1,91,86,2.26,overcast clouds
132,Vestmannaeyjar,IS,63.4427,-20.2734,52.79,93,100,13.8,overcast clouds
133,Hervey Bay,AU,-25.2986,152.8535,65.8,94,10,5.08,clear sky
134,Adrar,MR,20.5022,-10.0711,102.4,19,78,10.16,broken clouds
135,Ruidoso,US,33.3317,-105.673,85.1,50,100,14.97,overcast clouds
136,Port Hardy,CA,50.6996,-127.4199,62.78,77,20,6.91,few clouds
137,Taiyuan,CN,37.8694,112.5603,76.86,78,0,2.24,clear sky
138,Otradnoye,RU,59.7775,30.8181,76.96,69,38,6.33,scattered clouds
