City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
83,Castro,BR,66.67,clear sky,-24.7911,-50.0119,CHACARA BAILLY
84,Fort Nelson,CA,69.39,few clouds,58.8053,-122.7002,The Fort Nelson Hotel
86,Sept-Iles,CA,77.43,few clouds,50.2001,-66.3821,Comfort Inn
87,Port-Cartier,CA,77.11,clear sky,50.0334,-66.8654,Le Q'Artier
88,Atuona,PF,77.22,broken clouds,-9.8,-139.0333,Villa Enata
90,Altay,CN,60.51,few clouds,47.8667,88.1167,Jinqiao Hotel
93,Eyl,SO,76.66,clear sky,7.9803,49.8164,Amiin Hotel
96,Lasa,IT,68.88,scattered clouds,46.6166,10.7002,Pension Feldgärtenhof
98,Yellowknife,CA,66.72,broken clouds,62.456,-114.3525,The Explorer Hotel
101,Salaga,GH,77.77,overcast clouds,8.5508,-0.5188,Bore Nada Guest House
107,Hasaki,JP,72.28,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
108,Bambous Virieux,MU,70.21,broken clouds,-20.3428,57.7575,Casa Tia Villa
115,Parana,AR,67.51,clear sky,-31.732,-60.5238,Howard Johnson by Wyndham Plaza Hotel Mayorazgo
116,Nikolskoye,RU,76.8,scattered clouds,59.7035,30.7861,Tourist House - Sablino
117,Ambilobe,MG,65.88,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
121,Klyuchi,RU,61.18,clear sky,52.2667,79.1667,Vesolaya Mayovka
122,Erenhot,CN,77.95,overcast clouds,43.6475,111.9767,Erenhot Rurouni Youth Hostel
124,Isangel,VU,71.71,scattered clouds,-19.55,169.2667,Tanna Lodge
127,Ponta Do Sol,PT,75.7,clear sky,32.6667,-17.1,Hotel do Campo
128,Kieta,PG,78.35,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
130,Jerusalem,IL,75.7,clear sky,31.769,35.2163,National Hotel Jerusalem
133,Hervey Bay,AU,65.8,clear sky,-25.2986,152.8535,Shelly Bay Resort
136,Port Hardy,CA,62.78,few clouds,50.6996,-127.4199,Airport Inn-Port Hardy
137,Taiyuan,CN,76.86,clear sky,37.8694,112.5603,Taiyuan Wanda Wenhua Hotel
138,Otradnoye,RU,76.96,scattered clouds,59.7775,30.8181,Baza otdikha Petrushinsky Khutor
140,Jumla,NP,63.46,overcast clouds,29.2747,82.1838,Royal Garden Hotel
141,Saint-Philippe,RE,66.22,scattered clouds,-21.3585,55.7679,Le four à pain
144,Save,BJ,78.04,overcast clouds,8.0425,2.486,Le Cercle du Rail
145,Caravelas,BR,74.97,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
146,Abonnema,NG,76.5,overcast clouds,4.7084,6.7931,Corper's Lodge Obonoma
159,Porto Walter,BR,72.73,overcast clouds,-8.2686,-72.7439,Hotel Silva
162,Carnarvon,AU,60.26,clear sky,-24.8667,113.6333,Hospitality Carnarvon
165,Kalianget,ID,76.84,broken clouds,-7.05,113.9333,Pesanggrahan Garam
166,Portland,US,79.14,clear sky,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
170,Antalaha,MG,65.57,clear sky,-14.9003,50.2788,Hotel Vitasoa
171,Chany,RU,66.4,overcast clouds,55.3121,76.7647,Sakura
175,Along,IN,74.73,broken clouds,28.1667,94.7667,Hotel West
178,Kargasok,RU,61.07,overcast clouds,59.0556,80.8572,Hotel Kargasok
179,Taunggyi,MM,63.91,overcast clouds,20.7833,97.0333,True Treasure Hotel
180,Choma,ZM,60.78,clear sky,-16.8065,26.9531,Kamuboola Lodge
182,Yarada,IN,79.12,thunderstorm,17.65,83.2667,Yarada Jungle Beach Resorts
183,Bonthe,SL,77.04,broken clouds,7.5264,-12.505,Bonthe Holiday Village
187,Vrangel,RU,71.6,overcast clouds,42.7297,133.0839,"Отель ""БАЛИ"""
190,Hambantota,LK,78.37,overcast clouds,6.1241,81.1185,Bungalow 63
192,Agbor,NG,72.7,overcast clouds,6.2518,6.1934,MIRAMAS HOTEL
193,Vanimo,PG,75.7,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
194,Faanui,PF,78.26,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
195,Katsuura,JP,71.85,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
207,Lorengau,PG,78.64,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
208,Amurzet,RU,65.93,few clouds,47.6967,131.0981,Gostinitsa Kvartirnogo Tipa
210,Avarua,CK,75.25,few clouds,-21.2078,-159.775,Paradise Inn
212,Pisco,PE,64.45,few clouds,-13.7,-76.2167,Hotel San Isidro Oficial
213,Bonavista,CA,72.45,broken clouds,48.6499,-53.1147,Sweet Sharons bnb
215,Tsabong,BW,61.2,broken clouds,-26.0217,22.401,Springbok Motel
222,Lata,PT,66.81,clear sky,40.1629,-8.3327,Casa Maquia
223,San Policarpo,PH,78.78,overcast clouds,12.1791,125.5072,Agapita M. Nicart
225,Mangrol,IN,79.95,overcast clouds,21.1167,70.1167,Hotel The Royal Honours
226,Namibe,AO,61.75,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
233,Ville-Marie,CA,78.44,clear sky,47.3335,-79.433,La Bannik
234,Mamatid,PH,76.98,moderate rain,14.2342,121.1581,mdespinoB41L36
235,Erzin,TR,77.29,clear sky,36.9559,36.2,Artemis Otel
236,Abha,SA,62.42,few clouds,18.2164,42.5053,Abha Hotel
237,Moose Factory,CA,77.0,broken clouds,51.2585,-80.6094,Cree Village Eco Lodge
239,Peace River,CA,68.31,broken clouds,56.2501,-117.286,BCMInns - Peace River
240,Alofi,NU,75.09,overcast clouds,-19.0595,-169.9187,Taloa Heights
243,Labuhan,ID,73.71,scattered clouds,-6.8844,112.2051,DoubleFAG
244,Asau,RO,70.72,clear sky,46.4333,26.4,Casa Mika Ciobanus
248,Ilo,PE,61.66,overcast clouds,-17.6394,-71.3375,Torreblanca Hotel
250,Yeppoon,AU,65.98,clear sky,-23.1333,150.7333,Villa Mar Colina
253,Zeya,RU,63.91,moderate rain,53.75,127.2667,Kapital Inn
262,Sao Filipe,CV,78.03,few clouds,14.8961,-24.4956,Hotel Xaguate
263,San Andres,CO,77.02,light rain,12.5847,-81.7006,Hotel Arena Blanca
275,Novopokrovka,UA,68.9,overcast clouds,49.8425,36.5477,Пудж дом
276,Karpogory,RU,65.68,scattered clouds,64.0019,44.4451,Hotel Pinezhskaya Sloboda
